扫描时间：2026-06-18 17:00:00,会话数：40
序号,公司,职位,状态,备注
1,西安灰猫智能技术,python软件工程师｜远程双休不加班,unread,other: 工作地点要求在西安，是否有在西安发展的意愿
2,从善(广州)人力,证券交易系统资深架构师（远程）（猎头职位）,unread,other: 期待下一次合作的机会
3,麦索科技,高级前端开发工程师（远程）,read_noreply,对方无回复
4,北京极致印象国际...,高级软件工程师,read_noreply,对方无回复
5,优猎九九,AI 前端/全栈开发（全国远程办公）（猎头职位）,read_noreply,对方无回复
6,上海佳烨企业管理咨询,java专家（P7+/P8）+远程办公+电商行业（猎头职位）,read_noreply,对方无回复
7,网龙,【AI应用】高级软件开发工程师,read_noreply,对方无回复
8,磐康股份,远程Taro专家,read_noreply,对方无回复
9,北京工作魔法科技,"后端或全栈工程师-限北美时区,可远程办公",read_noreply,对方无回复
10,索邦智慧,兼职·[远程/兼职]资深前端全栈开发（Antd 专家）,read_noreply,对方无回复
11,杭州诺安人力资源服务,AI后端开发工程（远程办公）（猎头职位）,read_noreply,对方无回复
12,南京白利度科技,机械臂控制算法工程师 (硬件机械臂 SDK),read_noreply,对方无回复
13,英特利普,电商iOS 开发专家-口语好-外企远程办公（猎头职位）,read_noreply,对方无回复
14,营口关羽科技有限公司,兼职·软件开发,unread,other: 然后根据客户需求报自己到手的价格就可以 剩下的由公司去谈的哈 一个项目完工验收后就结算，没有账期
15,北京玄犀科技有限公司,兼职·软件开发工程师(实习生),read_noreply,对方无回复
16,晨星创投,兼职·教育AI智能体开发工程师（兼职/远程）,read_noreply,对方无回复
17,金鸿睿,AI 架构师（远程）,read_noreply,对方无回复
18,北京海伴科技有限公司,【远程办公】大模型Agent研发,read_noreply,对方无回复
19,Atomic,GenAI Agent 平台工程师（可居家办公）（猎头职位）,unread,other: 是什么跨国银行哇
20,成都追曜信息科技,兼职·大模型应用工程师（兼职/远程）,unread,other: 您主要使用或擅长哪些软件工具或技术？
21,千机人力,,skip,"打开会话失败:ElementHandle.click: Element is not attached to the DOM
Call log:
  - attempting click action
    - waiting for element to be visible, enabled and stable
"
22,纯粹元素,,skip,"打开会话失败:ElementHandle.click: Element is not attached to the DOM
Call log:
  - attempting click action
    - waiting for element to be visible, enabled and stable
"
23,翰格集团,,skip,"打开会话失败:ElementHandle.click: Element is not attached to the DOM
Call log:
  - attempting click action
    - waiting for element to be visible, enabled and stable
"
24,杭州点辰网络科技,大模型算法工程师（多模态/语言大模型）,skip,"打开会话失败:ElementHandle.click: Element is not attached to the DOM
Call log:
  - attempting click action
    - waiting for element to be visible, enabled and stable
"
25,琦焕科技,ERP开发工程师-远程面试,read_noreply,对方无回复
26,集思广证,区块链安全实习生 （可远程）,read_noreply,对方无回复
27,北京果壳智算科技,兼职·远程前端开发兼职/项目外包,read_noreply,对方无回复
28,音视人才,AI Agent 高级开发工程师（远程）（猎头职位）,read_noreply,对方无回复
29,张家港市汇智人力...,技术总监（交易所KYC账号管理方向）远程（猎头职位）,read_noreply,对方无回复
30,海利普科贸,Flutter 开发工程师（支持远程）,read_noreply,对方无回复
31,Web3.x,Golang开发工程师（可远程）,read_noreply,对方无回复
32,北京超原子安科技,海外风控模型工程师-互金远程办公,read_noreply,对方无回复
33,北京天擎千鑫科技,Java架构师（外企远程）,read_noreply,对方无回复
34,深圳市职帮人力资...,mev区块链工程师（远程区块链实习/全职）（猎头职位）,read_noreply,对方无回复
35,acttec,陪伴机器人功能AI软件开发(兼职),read_noreply,对方无回复
36,华世先达咨询(北...,AI Agent技术规划工程师（猎头职位）,rejected,不好意思，不太合适哦
37,华视信诚,大数据工程师（远程）,read_noreply,对方无回复
38,原力灵机,远程遥操系统开发工程师,read_noreply,对方无回复
39,上海元界迅擎科技,【AI 远程】后端开发工程师,read_noreply,对方无回复
40,优猎九九,高级前端工程师（远程办公）（猎头职位）,read_noreply,对方无回复
